ID,Title,Start,End,Commentaire,BackgroundColor
C_20100_66_6_439,WEBA (Le Franc),2025-05-13T08:00:00,2025-05-13T09:35:00,"Groupe : SIG1, Module : SI101 - INGL1 - Ingénierie logicielle 1","rgb(75, 108, 166)"
C_10594_66_4_440,MATH (Le Franc),2025-05-13T09:50:00,2025-05-13T11:25:00,"Groupe : SIG1, Module : SI131 - BRIT2 - Branches instrumentales 2<br/><u>Commentaires :</u><br/>Importation horaires du 19-06-2024","rgb(75, 108, 166)"
C_10597_142_7_441,PRSE (Gerber),2025-05-13T13:10:00,2025-05-13T16:35:00,"Groupe : SIG1, Module : SI120 - INGP - Ingénierie Plateformes<br/><u>Commentaires :</u><br/>Importation horaires du 19-06-2024","rgb(75, 108, 166)"
C_10593_66_5_442,TKDE (Le Franc),2025-05-14T08:00:00,2025-05-14T10:35:00,"Groupe : SIG1, Module : SI111 - OGEN - Outils pour la gestion d""entreprise<br/><u>Commentaires :</u><br/>Importation horaires du 19-06-2024","rgb(75, 108, 166)"
C_10599_43_4_443,COMM (Bruyndonckx),2025-05-14T10:40:00,2025-05-14T12:15:00,"Groupe : SIG1, Module : SI131 - BRIT2 - Branches instrumentales 2<br/><u>Commentaires :</u><br/>Importation horaires du 19-06-2024","rgb(75, 108, 166)"
C_10600_43_5_444,GEFA (Bruyndonckx),2025-05-14T13:10:00,2025-05-14T16:35:00,"Groupe : SIG1, Module : SI111 - OGEN - Outils pour la gestion d""entreprise<br/><u>Commentaires :</u><br/>Importation horaires du 19-06-2024","rgb(75, 108, 166)"
C_10595_158_5_445,DROA (Barbafieri),2025-05-15T08:00:00,2025-05-15T09:35:00,"Groupe : SIG1, Module : SI111 - OGEN - Outils pour la gestion d""entreprise<br/><u>Commentaires :</u><br/>Importation horaires du 19-06-2024","rgb(75, 108, 166)"
C_10598_66_4_446,MATH (Le Franc),2025-05-15T09:50:00,2025-05-15T11:25:00,"Groupe : SIG1, Module : SI131 - BRIT2 - Branches instrumentales 2<br/><u>Commentaires :</u><br/>Importation horaires du 19-06-2024","rgb(75, 108, 166)"
C_10603_66_4_447,REMA (Le Franc),2025-05-15T11:30:00,2025-05-15T12:15:00,"Groupe : SIG1, Module : SI131 - BRIT2 - Branches instrumentales 2<br/><u>Commentaires :</u><br/>Importation horaires du 19-06-2024","rgb(75, 108, 166)"
C_10592_76_6_448,IPOO (Bianchi-Huguenin),2025-05-15T13:10:00,2025-05-15T16:35:00,"Groupe : SIG1, Module : SI101 - INGL1 - Ingénierie logicielle 1<br/><u>Commentaires :</u><br/>Importation horaires du 19-06-2024","rgb(75, 108, 166)"
C_20109_66_4_449,REMA (Le Franc),2025-05-16T08:50:00,2025-05-16T09:35:00,"Groupe : SIG1, Module : SI131 - BRIT2 - Branches instrumentales 2","rgb(75, 108, 166)"
C_10601_3_7_450,RESE (Bron),2025-05-16T09:50:00,2025-05-16T12:15:00,"Groupe : SIG1, Module : SI120 - INGP - Ingénierie Plateformes<br/><u>Commentaires :</u><br/>Importation horaires du 19-06-2024","rgb(75, 108, 166)"
C_10602_163_6_451,WEBA (GANDER),2025-05-16T13:10:00,2025-05-16T16:35:00,"Groupe : SIG1, Module : SI101 - INGL1 - Ingénierie logicielle 1<br/><u>Commentaires :</u><br/>Importation horaires du 19-06-2024","rgb(75, 108, 166)"
C_10605_5_6_452,BDON (Girardet),2025-05-19T08:00:00,2025-05-19T09:35:00,"Groupe : SIG1, Module : SI101 - INGL1 - Ingénierie logicielle 1<br/><u>Commentaires :</u><br/>Importation horaires du 19-06-2024","rgb(75, 108, 166)"
C_10606_5_6_453,MDLD (Girardet),2025-05-19T09:50:00,2025-05-19T11:25:00,"Groupe : SIG1, Module : SI101 - INGL1 - Ingénierie logicielle 1<br/><u>Commentaires :</u><br/>Importation horaires du 19-06-2024","rgb(75, 108, 166)"
C_20101_66_6_454,WEBA (Le Franc),2025-05-20T08:00:00,2025-05-20T09:35:00,"Groupe : SIG1, Module : SI101 - INGL1 - Ingénierie logicielle 1","rgb(75, 108, 166)"
C_10610_66_4_455,MATH (Le Franc),2025-05-20T09:50:00,2025-05-20T11:25:00,"Groupe : SIG1, Module : SI131 - BRIT2 - Branches instrumentales 2<br/><u>Commentaires :</u><br/>Importation horaires du 19-06-2024","rgb(75, 108, 166)"
C_10613_142_7_456,PRSE (Gerber),2025-05-20T13:10:00,2025-05-20T16:35:00,"Groupe : SIG1, Module : SI120 - INGP - Ingénierie Plateformes<br/><u>Commentaires :</u><br/>Importation horaires du 19-06-2024","rgb(75, 108, 166)"
C_10609_66_5_457,TKDE (Le Franc),2025-05-21T08:00:00,2025-05-21T10:35:00,"Groupe : SIG1, Module : SI111 - OGEN - Outils pour la gestion d""entreprise<br/><u>Commentaires :</u><br/>Importation horaires du 19-06-2024","rgb(75, 108, 166)"
C_10615_43_4_458,COMM (Bruyndonckx),2025-05-21T10:40:00,2025-05-21T12:15:00,"Groupe : SIG1, Module : SI131 - BRIT2 - Branches instrumentales 2<br/><u>Commentaires :</u><br/>Importation horaires du 19-06-2024","rgb(75, 108, 166)"
C_10616_43_5_459,GEFA (Bruyndonckx),2025-05-21T13:10:00,2025-05-21T16:35:00,"Groupe : SIG1, Module : SI111 - OGEN - Outils pour la gestion d""entreprise<br/><u>Commentaires :</u><br/>Importation horaires du 19-06-2024","rgb(75, 108, 166)"
C_10611_158_5_460,DROA (Barbafieri),2025-05-22T08:00:00,2025-05-22T09:35:00,"Groupe : SIG1, Module : SI111 - OGEN - Outils pour la gestion d""entreprise<br/><u>Commentaires :</u><br/>Importation horaires du 19-06-2024","rgb(75, 108, 166)"
C_10614_66_4_461,MATH (Le Franc),2025-05-22T09:50:00,2025-05-22T11:25:00,"Groupe : SIG1, Module : SI131 - BRIT2 - Branches instrumentales 2<br/><u>Commentaires :</u><br/>Importation horaires du 19-06-2024","rgb(75, 108, 166)"
C_10619_66_4_462,REMA (Le Franc),2025-05-22T11:30:00,2025-05-22T12:15:00,"Groupe : SIG1, Module : SI131 - BRIT2 - Branches instrumentales 2<br/><u>Commentaires :</u><br/>Importation horaires du 19-06-2024","rgb(75, 108, 166)"
C_10608_76_6_463,IPOO (Bianchi-Huguenin),2025-05-22T13:10:00,2025-05-22T16:35:00,"Groupe : SIG1, Module : SI101 - INGL1 - Ingénierie logicielle 1<br/><u>Commentaires :</u><br/>Importation horaires du 19-06-2024","rgb(75, 108, 166)"
C_20110_66_4_464,REMA (Le Franc),2025-05-23T08:50:00,2025-05-23T09:35:00,"Groupe : SIG1, Module : SI131 - BRIT2 - Branches instrumentales 2","rgb(75, 108, 166)"
C_10617_3_7_465,RESE (Bron),2025-05-23T09:50:00,2025-05-23T12:15:00,"Groupe : SIG1, Module : SI120 - INGP - Ingénierie Plateformes<br/><u>Commentaires :</u><br/>Importation horaires du 19-06-2024","rgb(75, 108, 166)"
C_10618_163_6_466,WEBA (GANDER),2025-05-23T13:10:00,2025-05-23T16:35:00,"Groupe : SIG1, Module : SI101 - INGL1 - Ingénierie logicielle 1<br/><u>Commentaires :</u><br/>Importation horaires du 19-06-2024","rgb(75, 108, 166)"
C_10621_5_6_467,BDON (Girardet),2025-05-26T08:00:00,2025-05-26T09:35:00,"Groupe : SIG1, Module : SI101 - INGL1 - Ingénierie logicielle 1<br/><u>Commentaires :</u><br/>Importation horaires du 19-06-2024","rgb(75, 108, 166)"
C_10622_5_6_468,MDLD (Girardet),2025-05-26T09:50:00,2025-05-26T11:25:00,"Groupe : SIG1, Module : SI101 - INGL1 - Ingénierie logicielle 1<br/><u>Commentaires :</u><br/>Importation horaires du 19-06-2024","rgb(75, 108, 166)"
C_20102_66_6_469,WEBA (Le Franc),2025-05-27T08:00:00,2025-05-27T09:35:00,"Groupe : SIG1, Module : SI101 - INGL1 - Ingénierie logicielle 1","rgb(75, 108, 166)"
C_10625_66_4_470,MATH (Le Franc),2025-05-27T09:50:00,2025-05-27T11:25:00,"Groupe : SIG1, Module : SI131 - BRIT2 - Branches instrumentales 2<br/><u>Commentaires :</u><br/>Importation horaires du 19-06-2024","rgb(75, 108, 166)"
C_10626_142_7_471,PRSE (Gerber),2025-05-27T13:10:00,2025-05-27T16:35:00,"Groupe : SIG1, Module : SI120 - INGP - Ingénierie Plateformes<br/><u>Commentaires :</u><br/>Importation horaires du 19-06-2024","rgb(75, 108, 166)"
C_10624_66_5_472,TKDE (Le Franc),2025-05-28T08:00:00,2025-05-28T10:35:00,"Groupe : SIG1, Module : SI111 - OGEN - Outils pour la gestion d""entreprise<br/><u>Commentaires :</u><br/>Importation horaires du 19-06-2024","rgb(75, 108, 166)"
